time	V(n001)	I(D1)
0.000000000000000e+00	1.000000e+00	1.876507e-03
4.330102860300268e-11	6.968928e-01	3.666391e-04
8.660205720600536e-11	3.937856e-01	-1.142338e-03
1.299030858090081e-10	9.067839e-02	-2.650424e-03
1.732041144120107e-10	-2.124288e-01	-4.157619e-03
2.165051430150134e-10	-5.155360e-01	-5.663923e-03
2.598061716180161e-10	-8.186432e-01	-7.169337e-03
3.031072002210187e-10	-1.121750e+00	-8.673859e-03
4.002500573638756e-10	-1.801750e+00	-1.205903e-02
4.973929145067326e-10	-2.481750e+00	-1.542709e-02
5.945357716495895e-10	-3.161750e+00	-1.877805e-02
6.916786287924465e-10	-3.841750e+00	-2.211191e-02
7.888214859353035e-10	-4.521751e+00	-2.542866e-02
8.859643430781604e-10	-5.201751e+00	-2.872830e-02
9.831072002210171e-10	-5.881751e+00	-3.201085e-02
9.884260572849396e-10	-5.925923e+00	-3.222108e-02
9.937449143488620e-10	-5.961002e+00	-3.238553e-02
9.990637714127845e-10	-5.986988e+00	-3.250418e-02
1.004382628476707e-09	-6.003880e+00	-3.257704e-02
1.009701485540630e-09	-6.011680e+00	-3.260411e-02
1.015020342604552e-09	-6.010387e+00	-3.258539e-02
1.020339199668474e-09	-6.000000e+00	-3.252088e-02
1.034624913954189e-09	-6.000000e+00	-3.250300e-02
1.048910628239903e-09	-6.000000e+00	-3.246372e-02
1.063196342525617e-09	-6.000000e+00	-3.240302e-02
1.077482056811331e-09	-6.000000e+00	-3.232091e-02
1.091767771097046e-09	-6.000000e+00	-3.221739e-02
1.106053485382760e-09	-6.000000e+00	-3.209246e-02
1.120339199668474e-09	-6.000000e+00	-3.194612e-02
1.130339199668474e-09	-6.000000e+00	-3.169099e-02
1.140339199668474e-09	-6.000000e+00	-3.100573e-02
1.150339199668474e-09	-6.000000e+00	-2.957972e-02
1.160339199668474e-09	-6.000000e+00	-2.784069e-02
1.170339199668474e-09	-6.000000e+00	-2.590062e-02
1.210339199668474e-09	-6.000000e+00	-1.744133e-02
1.220339199668474e-09	-6.000000e+00	-1.544640e-02
1.230339199668474e-09	-6.000000e+00	-1.357948e-02
1.240339199668474e-09	-6.000000e+00	-1.186050e-02
1.250339199668474e-09	-6.000000e+00	-1.029967e-02
1.260339199668474e-09	-6.000000e+00	-8.899279e-03
1.270339199668474e-09	-6.000000e+00	-7.655641e-03
1.280339199668474e-09	-6.000000e+00	-6.560838e-03
1.290339199668474e-09	-6.000000e+00	-5.604231e-03
1.300339199668473e-09	-6.000000e+00	-4.773676e-03
1.310339199668473e-09	-6.000000e+00	-4.056454e-03
1.320339199668473e-09	-6.000000e+00	-3.439936e-03
1.330339199668473e-09	-6.000000e+00	-2.912038e-03
1.340339199668473e-09	-6.000000e+00	-2.461509e-03
1.350339199668473e-09	-6.000000e+00	-2.078076e-03
1.360339199668473e-09	-6.000000e+00	-1.752512e-03
1.370339199668473e-09	-6.000000e+00	-1.476631e-03
1.380339199668473e-09	-6.000000e+00	-1.243240e-03
1.390339199668473e-09	-6.000000e+00	-1.046071e-03
1.400339199668473e-09	-6.000000e+00	-8.797013e-04
1.410339199668473e-09	-6.000000e+00	-7.394581e-04
1.420339199668473e-09	-6.000000e+00	-6.213376e-04
1.430339199668473e-09	-6.000000e+00	-5.219199e-04
1.440339199668473e-09	-6.000000e+00	-4.382929e-04
1.450339199668473e-09	-6.000000e+00	-3.679835e-04
1.460339199668473e-09	-6.000000e+00	-3.088955e-04
1.470339199668473e-09	-6.000000e+00	-2.592552e-04
1.480339199668473e-09	-6.000000e+00	-2.175643e-04
1.490339199668473e-09	-6.000000e+00	-1.825584e-04
1.500339199668473e-09	-6.000000e+00	-1.531716e-04
1.510339199668473e-09	-6.000000e+00	-1.285062e-04
1.520339199668473e-09	-6.000000e+00	-1.078067e-04
1.530339199668473e-09	-6.000000e+00	-9.043748e-05
1.540339199668473e-09	-6.000000e+00	-7.586429e-05
1.550339199668473e-09	-6.000000e+00	-6.363807e-05
1.560339199668473e-09	-6.000000e+00	-5.338158e-05
1.570339199668473e-09	-6.000000e+00	-4.477800e-05
1.580339199668473e-09	-6.000000e+00	-3.756132e-05
1.590339199668472e-09	-6.000000e+00	-3.150823e-05
1.600339199668472e-09	-6.000000e+00	-2.643130e-05
1.610339199668472e-09	-6.000000e+00	-2.217323e-05
1.620339199668472e-09	-6.000000e+00	-1.860203e-05
1.630339199668472e-09	-6.000000e+00	-1.560698e-05
1.640339199668472e-09	-6.000000e+00	-1.309516e-05
1.650339199668472e-09	-6.000000e+00	-1.098863e-05
1.660339199668472e-09	-6.000000e+00	-9.222035e-06
1.670339199668472e-09	-6.000000e+00	-7.740523e-06
1.680339199668472e-09	-6.000000e+00	-6.498100e-06
1.690339199668472e-09	-6.000000e+00	-5.456192e-06
1.700339199668472e-09	-6.000000e+00	-4.582441e-06
1.710339199668472e-09	-6.000000e+00	-3.849713e-06
1.720339199668472e-09	-6.000000e+00	-3.235248e-06
1.730339199668472e-09	-6.000000e+00	-2.719962e-06
1.740339199668472e-09	-6.000000e+00	-2.287846e-06
1.750339199668472e-09	-6.000000e+00	-1.925478e-06
1.760339199668472e-09	-6.000000e+00	-1.621601e-06
1.770339199668472e-09	-6.000000e+00	-1.366773e-06
1.780339199668472e-09	-6.000000e+00	-1.153078e-06
1.790339199668472e-09	-6.000000e+00	-9.738773e-07
1.800339199668472e-09	-6.000000e+00	-8.236021e-07
1.810339199668472e-09	-6.000000e+00	-6.975840e-07
1.820339199668472e-09	-6.000000e+00	-5.919073e-07
1.830339199668472e-09	-6.000000e+00	-5.032888e-07
1.840339199668472e-09	-6.000000e+00	-4.289751e-07
1.850339199668472e-09	-6.000000e+00	-3.666569e-07
1.860339199668472e-09	-6.000000e+00	-3.143981e-07
1.870339199668472e-09	-6.000000e+00	-2.705749e-07
1.880339199668472e-09	-6.000000e+00	-2.338256e-07
1.890339199668472e-09	-6.000000e+00	-2.030084e-07
1.900339199668472e-09	-6.000000e+00	-1.771657e-07
1.910339199668472e-09	-6.000000e+00	-1.554946e-07
1.920339199668472e-09	-6.000000e+00	-1.373216e-07
1.940339199668473e-09	-6.000000e+00	-1.093026e-07
1.960339199668473e-09	-6.000000e+00	-8.959918e-08
1.990339199668474e-09	-6.000000e+00	-7.044393e-08
2.020339199668474e-09	-6.000000e+00	-5.914805e-08
2.044624913954189e-09	-6.000000e+00	-5.449181e-08
2.068910628239903e-09	-6.000000e+00	-5.065333e-08
2.093196342525618e-09	-6.000000e+00	-4.763260e-08
2.117482056811333e-09	-6.000000e+00	-4.542962e-08
2.141767771097048e-09	-6.000000e+00	-4.404439e-08
2.166053485382762e-09	-6.000000e+00	-4.347692e-08
2.190339199668477e-09	-6.000000e+00	-4.372719e-08
1.004033919966835e-08	-6.000000e+00	-4.291305e-08
2.028033919966899e-08	-6.000000e+00	-4.291305e-08
