time	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.340571437061837e-12	1.136600e-05	5.828697e-06
4.681142874123675e-12	3.681497e-05	1.162923e-05
7.021714311185512e-12	7.634692e-05	1.740159e-05
9.362285748247350e-12	1.299618e-04	2.314579e-05
1.170285718530919e-11	1.976597e-04	2.886182e-05
1.404342862237102e-11	2.794406e-04	3.454969e-05
1.638400005943286e-11	3.753045e-04	4.020939e-05
3.276800011886571e-11	1.426673e-03	7.906665e-05
6.553600023773143e-11	5.455567e-03	1.529289e-04
1.310720004754629e-10	2.052074e-02	2.866385e-04
2.272249890633128e-10	5.682587e-02	4.544107e-04
3.272249890633128e-10	1.083172e-01	6.014281e-04
4.272249890633128e-10	1.685750e-01	7.309125e-04
5.272249890633128e-10	2.309082e-01	8.562460e-04
6.272249890633128e-10	2.872833e-01	9.934958e-04
7.272249890633129e-10	3.320738e-01	1.153915e-03
8.272249890633129e-10	3.659866e-01	1.336089e-03
9.272249890633130e-10	3.922393e-01	1.533584e-03
1.027224989063313e-09	4.135413e-01	1.740980e-03
1.127224989063313e-09	4.312946e-01	1.955473e-03
1.327224989063313e-09	4.594117e-01	2.399239e-03
1.627224989063313e-09	4.908262e-01	3.086410e-03
1.855796417634742e-09	5.085255e-01	3.622440e-03
2.084367846206171e-09	5.246681e-01	4.161583e-03
2.312939274777600e-09	5.392539e-01	4.703840e-03
2.541510703349029e-09	5.522830e-01	5.249211e-03
2.770082131920457e-09	5.637553e-01	5.797694e-03
2.998653560491886e-09	5.736710e-01	6.349292e-03
3.227224989063314e-09	5.820298e-01	6.904003e-03
3.841510703349029e-09	6.020284e-01	8.399720e-03
4.455796417634744e-09	6.202193e-01	9.899052e-03
5.070082131920459e-09	6.366026e-01	1.140200e-02
5.684367846206173e-09	6.511782e-01	1.290856e-02
6.298653560491888e-09	6.639462e-01	1.441874e-02
6.912939274777603e-09	6.749066e-01	1.593253e-02
7.527224989063316e-09	6.840594e-01	1.744994e-02
9.284367846206172e-09	7.075107e-01	2.179590e-02
1.104151070334903e-08	7.288248e-01	2.614613e-02
1.279865356049189e-08	7.480017e-01	3.050063e-02
1.455579641763474e-08	7.650414e-01	3.485941e-02
1.631293927477760e-08	7.799439e-01	3.922246e-02
1.807008213192045e-08	7.927092e-01	4.358979e-02
1.982722498906330e-08	8.033372e-01	4.796139e-02
1.992464463582641e-08	8.039422e-01	4.816419e-02
2.002206428258952e-08	8.045076e-01	4.831964e-02
2.011948392935262e-08	8.050335e-01	4.842773e-02
2.021690357611573e-08	8.055198e-01	4.848846e-02
2.031432322287884e-08	8.059667e-01	4.850184e-02
2.041174286964194e-08	8.063740e-01	4.846786e-02
2.050916251640505e-08	8.067418e-01	4.838652e-02
2.378059108783365e-08	8.158814e-01	4.836824e-02
2.705201965926225e-08	8.235005e-01	4.835300e-02
3.032344823069085e-08	8.295992e-01	4.834080e-02
3.359487680211945e-08	8.341774e-01	4.833164e-02
3.686630537354806e-08	8.372351e-01	4.832553e-02
4.013773394497666e-08	8.387723e-01	4.832245e-02
4.340916251640525e-08	8.387890e-01	4.832242e-02
1.004091625164031e-07	8.423240e-01	4.831535e-02
1.200272512450794e-07	8.422926e-01	4.824729e-02
1.228142519565536e-07	8.366050e-01	4.129116e-02
1.256012526680277e-07	8.290191e-01	3.433883e-02
1.283882533795019e-07	8.195350e-01	2.739030e-02
1.311752540909760e-07	8.081526e-01	2.044556e-02
1.339622548024501e-07	7.948719e-01	1.350462e-02
1.367492555139243e-07	7.796930e-01	6.567475e-03
1.395362562253984e-07	7.626158e-01	-3.658722e-04
1.400000000000000e-07	7.592667e-01	-1.518533e-03
1.432422308088434e-07	7.418438e-01	-1.483688e-03
1.464844616176869e-07	7.233346e-01	-1.446669e-03
1.497266924265303e-07	7.037392e-01	-1.407478e-03
1.529689232353737e-07	6.830575e-01	-1.366115e-03
1.562111540442172e-07	6.612895e-01	-1.322579e-03
1.594533848530606e-07	6.384352e-01	-1.276870e-03
1.626956156619040e-07	6.144947e-01	-1.228989e-03
1.636813299476184e-07	6.066661e-01	-1.213332e-03
1.646670442333328e-07	5.975020e-01	-1.195004e-03
1.656527585190471e-07	5.870022e-01	-1.174004e-03
1.666384728047615e-07	5.751669e-01	-1.150334e-03
1.676241870904758e-07	5.619959e-01	-1.123992e-03
1.686099013761902e-07	5.474894e-01	-1.094979e-03
1.695956156619045e-07	5.316472e-01	-1.063294e-03
